  0.4900E+02  0.9660E+00  0.6398E+04  0.5000E+01  0.1921E+02  0.1960E-02  0.2475E+02
  0.5000E+02  0.9671E+00  0.6405E+04  0.3606E+01  0.7096E+01  0.6956E-03  0.2525E+02
  0.5100E+02  0.9687E+00  0.6416E+04  0.4123E+01  0.1098E+02  0.1035E-02  0.2575E+02
  0.5200E+02  0.9710E+00  0.6431E+04  0.4583E+01  0.1486E+02  0.1348E-02  0.2625E+02
  0.5300E+02  0.9728E+00  0.6443E+04  0.4243E+01  0.1174E+02  0.1026E-02  0.2675E+02
  0.5400E+02  0.9736E+00  0.6449E+04  0.3464E+01  0.5624E+01  0.4733E-03  0.2725E+02
  0.5500E+02  0.9759E+00  0.6464E+04  0.4690E+01  0.1551E+02  0.1258E-02  0.2775E+02
  0.5600E+02  0.9778E+00  0.6477E+04  0.4359E+01  0.1239E+02  0.9701E-03  0.2825E+02
  0.5700E+02  0.9785E+00  0.6481E+04  0.3317E+01  0.4269E+01  0.3228E-03  0.2875E+02
  0.5800E+02  0.9795E+00  0.6488E+04  0.3742E+01  0.7151E+01  0.5224E-03  0.2925E+02
  0.5900E+02  0.9795E+00  0.6488E+04  0.2646E+01  0.3327E-01  0.2350E-05  0.2975E+02
  0.6000E+02  0.9813E+00  0.6500E+04  0.4359E+01  0.1192E+02  0.8138E-03  0.3025E+02
  0.6100E+02  0.9830E+00  0.6511E+04  0.4243E+01  0.1080E+02  0.7137E-03  0.3075E+02
  0.6200E+02  0.9834E+00  0.6513E+04  0.3162E+01  0.2679E+01  0.1715E-03  0.3125E+02
  0.6300E+02  0.9844E+00  0.6520E+04  0.3742E+01  0.6561E+01  0.4068E-03  0.3175E+02
  0.6400E+02  0.9853E+00  0.6526E+04  0.3742E+01  0.6443E+01  0.3872E-03  0.3225E+02
  0.6500E+02  0.9861E+00  0.6532E+04  0.3606E+01  0.5325E+01  0.3103E-03  0.3275E+02
  0.6600E+02  0.9865E+00  0.6534E+04  0.3162E+01  0.2207E+01  0.1248E-03  0.3325E+02
  0.6700E+02  0.9866E+00  0.6535E+04  0.3000E+01  0.1089E+01  0.5973E-04  0.3375E+02
  0.6800E+02  0.9872E+00  0.6539E+04  0.3464E+01  0.3971E+01  0.2115E-03  0.3425E+02
  0.6900E+02  0.9887E+00  0.6549E+04  0.4243E+01  0.9852E+01  0.5099E-03  0.3475E+02
  0.7000E+02  0.9899E+00  0.6557E+04  0.4000E+01  0.7734E+01  0.3890E-03  0.3525E+02
  0.7100E+02  0.9906E+00  0.6561E+04  0.3606E+01  0.4616E+01  0.2257E-03  0.3575E+02
  0.7200E+02  0.9916E+00  0.6568E+04  0.3873E+01  0.6498E+01  0.3091E-03  0.3625E+02
  0.7300E+02  0.9927E+00  0.6575E+04  0.4000E+01  0.7380E+01  0.3415E-03  0.3675E+02
  0.7400E+02  0.9932E+00  0.6578E+04  0.3464E+01  0.3262E+01  0.1469E-03  0.3725E+02
  0.7500E+02  0.9937E+00  0.6581E+04  0.3464E+01  0.3144E+01  0.1379E-03  0.3775E+02
  0.7600E+02  0.9944E+00  0.6586E+04  0.3742E+01  0.5026E+01  0.2147E-03  0.3825E+02
  0.7700E+02  0.9950E+00  0.6590E+04  0.3606E+01  0.3908E+01  0.1627E-03  0.3875E+02
  0.7800E+02  0.9951E+00  0.6591E+04  0.3162E+01  0.7898E+00  0.3204E-04  0.3925E+02
  0.7900E+02  0.9961E+00  0.6598E+04  0.4000E+01  0.6672E+01  0.2639E-03  0.3975E+02
  0.8000E+02  0.9965E+00  0.6600E+04  0.3464E+01  0.2554E+01  0.9851E-04  0.4025E+02
  0.8100E+02  0.9967E+00  0.6602E+04  0.3317E+01  0.1436E+01  0.5403E-04  0.4075E+02
  0.8200E+02  0.9975E+00  0.6607E+04  0.3873E+01  0.5317E+01  0.1953E-03  0.4125E+02
  0.8300E+02  0.9983E+00  0.6612E+04  0.3873E+01  0.5199E+01  0.1864E-03  0.4175E+02
  0.8400E+02  0.9995E+00  0.6620E+04  0.4243E+01  0.8081E+01  0.2829E-03  0.4225E+02
  0.8500E+02  0.9994E+00  0.6619E+04  0.3000E+01  -.1037E+01  -.3546E-04  0.4275E+02
  0.8600E+02  0.1000E+01  0.6623E+04  0.3742E+01  0.3845E+01  0.1285E-03  0.4325E+02
  0.8700E+02  0.1001E+01  0.6628E+04  0.3873E+01  0.4727E+01  0.1544E-03  0.4375E+02
  0.8800E+02  0.1000E+01  0.6625E+04  0.2646E+01  -.3391E+01  -.1082E-03  0.4425E+02
  0.8900E+02  0.1000E+01  0.6624E+04  0.3162E+01  -.5091E+00  -.1589E-04  0.4475E+02
  0.9000E+02  0.1001E+01  0.6629E+04  0.4000E+01  0.5373E+01  0.1640E-03  0.4525E+02
  0.9100E+02  0.1002E+01  0.6637E+04  0.4243E+01  0.7255E+01  0.2166E-03  0.4575E+02
  0.9200E+02  0.1001E+01  0.6633E+04  0.2646E+01  -.3863E+01  -.1129E-03  0.4625E+02
  0.9300E+02  0.1002E+01  0.6634E+04  0.3464E+01  0.1019E+01  0.2913E-04  0.4675E+02
  0.9400E+02  0.1001E+01  0.6631E+04  0.2828E+01  -.3100E+01  -.8677E-04  0.4725E+02
  0.9500E+02  0.1001E+01  0.6629E+04  0.3000E+01  -.2218E+01  -.6079E-04  0.4775E+02
  0.9600E+02  0.1001E+01  0.6627E+04  0.3162E+01  -.1336E+01  -.3586E-04  0.4825E+02
  0.9700E+02  0.1001E+01  0.6628E+04  0.3464E+01  0.5462E+00  0.1436E-04  0.4875E+02
  0.9800E+02  0.1001E+01  0.6627E+04  0.3317E+01  -.5719E+00  -.1474E-04  0.4925E+02
  0.9900E+02  0.1000E+01  0.6623E+04  0.2828E+01  -.3690E+01  -.9318E-04  0.4975E+02
