0.000 0.000 0.000
0.000 0.000 0.200
0.000 0.000 0.240
0.000 0.000 0.280
0.000 0.000 0.320
0.000 0.000 0.360
0.000 0.000 0.400
0.000 0.000 0.440
0.000 0.000 0.480
0.000 0.020 0.520
0.000 0.060 0.560
0.000 0.100 0.600
0.000 0.140 0.640
0.000 0.180 0.680
0.000 0.220 0.720
0.000 0.260 0.760
0.000 0.300 0.800
0.000 0.340 0.840
0.000 0.380 0.880
0.000 0.420 0.920
0.000 0.460 0.960
0.000 0.500 1.000
0.040 0.540 1.000
0.080 0.580 1.000
0.120 0.620 1.000
0.160 0.660 1.000
0.200 0.700 1.000
0.240 0.740 1.000
0.280 0.780 1.000
0.320 0.820 1.000
0.360 0.860 1.000
0.400 0.900 1.000
0.440 0.940 1.000
0.480 0.980 1.000
0.520 1.000 1.000
0.560 1.000 1.000
0.600 1.000 1.000
0.640 1.000 1.000
0.680 1.000 1.000
0.720 1.000 1.000
0.760 1.000 1.000
0.800 1.000 1.000
0.840 1.000 1.000
0.880 1.000 1.000
0.920 1.000 1.000
0.960 1.000 1.000
1.000 1.000 1.000
