0.000 0.000 0.000
0.000 0.089 0.096
0.000 0.111 0.120
0.000 0.178 0.192
0.000 0.222 0.240
0.000 0.244 0.264
0.000 0.267 0.288
0.000 0.311 0.336
0.000 0.333 0.360
0.029 0.356 0.384
0.057 0.378 0.408
0.086 0.400 0.432
0.114 0.422 0.456
0.143 0.444 0.480
0.171 0.467 0.504
0.200 0.489 0.528
0.229 0.511 0.552
0.257 0.533 0.576
0.286 0.556 0.600
0.314 0.578 0.600
0.343 0.600 0.600
0.371 0.622 0.600
0.400 0.644 0.600
0.429 0.667 0.600
0.457 0.689 0.600
0.486 0.711 0.600
0.514 0.733 0.600
0.543 0.756 0.600
0.571 0.778 0.600
0.600 0.800 0.600
0.629 0.822 0.600
0.657 0.844 0.600
0.686 0.867 0.600
0.714 0.889 0.600
0.743 0.911 0.600
0.771 0.933 0.600
0.800 0.956 0.600
0.829 0.978 0.600
0.857 1.000 0.600
0.886 1.000 0.680
0.914 1.000 0.760
0.943 1.000 0.840
0.971 1.000 0.920
1.000 1.000 1.000
