 1 2005  7 11  03 00 00  6794.4595834  0.01891406134  31.399643922 9.3587633198 68.668784545  86.294996540  0.0        -6.80101872  10.528650916  0.0        0.0 
 2 2005  7 16  19 50 00  6791.827878   0.018247400    31.400992    330.422763   127.632772    220.123260   -0.357436   -6.83232     10.2505       15.503806  92.880419
 3 2005  7 17  19 00 00  6796.766569   0.017447043    31.400154    323.831106   137.464103    201.978518   -0.128054   -6.81854     10.3502       15.486921  92.981684
 4 2005  7 18  18 20 00  6822.334386   0.013547585    31.401442    317.275259   147.196707    196.087391   -1.62042E-2 -6.72842     10.2152       15.399993  93.506536
 5 2005  7 19  17 40 00  6875.227637   0.005669347    31.402039    310.890017   156.162489    132.966575   4.43720E-2  -6.54733     10.0238       15.222720  94.595447
 6 2005  7 20  17 30 00  6929.854052   0.002341748    31.402164    304.534498   346.065865    299.899907   4.8044E-2   -6.36832     9.88332       15.043177  95.724460
 7 2005  7 21  16 10 00  6945.394279   0.000190339    31.401946    298.561317   334.044563     20.722072   4.48286E-2  -6.31867     9.76009       14.992745  96.046454
 8 2005  7 25  00 00 00  6945.394149176 0.000497854   31.400463397 277.541294893 13.415116042 327.697224104 -1.5294522528E-03 -6.3194337613 9.7834739139 14.992744644  96.046456746
 9 2005  7 27  22 00 00  6945.326594682 0.000754345   31.400350247 259.107798063 37.431132377 234.609013888 -1.9883890159E-03 -6.3199155765 9.7111071016 14.992963240  96.045056404
10 2005  7 30  15 00 00  6945.198055379 0.000912152   31.400148062 241.992685393 49.463274707 107.039875798 -3.9273813088E-03 -6.3193964363 9.5739793898 14.993379192  96.042391881
11 2005  8  4  17 00 00  6943.581667698 0.001382168   31.402849619 209.856036310 79.181559755 208.878116189 -4.3164614711E-03 -6.3243004788 9.4117543134 14.998612734  96.008879324
12 2005  8  6  17 00 00  6943.522218333 0.001401993   31.403283103 197.206361304 88.702024181 217.188149424 -5.8358016467E-03 -6.3242946297 9.3517692735 14.998805357  96.007646324
13 2005  8 10  10 00 00  6943.769395725 0.001269553   31.405109743 173.752884634 118.633215375 84.848849717 -6.1194595026E-03 -6.3231606099 9.3842907091 14.998005369  96.012767336
14 2005  8 13  13 00 00  6943.859096443 0.001094376   31.404911720 153.991419701 134.089746351 51.488514450 -2.9836996405E-03 -6.3236667196 9.5001278353 14.997714867 96.014627077
15 2005  8 17  12 00 00  6943.955195979 0.000795546   31.405659284 128.961859233 162.910963919 192.044266607 -2.3510444297E-03 -6.3234616597 9.6256820308 14.997403884 96.016618019
16 2005  8 20  10 00 00  6944.080401772 0.000541938   31.405890464 110.519772840 183.501826722 106.813415727 -1.8614665351E-03 -6.3234181250 9.7795614603 14.996998546  96.019213151
17 2005  8 24   8 00 00  6944.113703937 0.000221803   31.405564453 85.751974473 230.481081172 3.931068398 -2.4482968086E-03 -6.3239257621 9.8317993844 14.996890646  96.019903991
18 2005  8 27   8 00 00  6944.084417620 0.000373330   31.406192742 66.782206012 332.681374449 287.931550560 -4.3077990819E-03 -6.3232607544 9.8301853538 14.996985617  96.019295928
19 2005  8 31   6 00 00  6944.018600820 0.000718845   31.406538611 42.015371619 15.274343397 189.627295021 -3.8756856267E-03 -6.3232383328 9.7710183989 14.997198798  96.01793104
20 2005  9  3   5 00 00  6943.860883364 0.000955904   31.407067827 23.307967009 35.751472281 330.109358368 -4.9630626942E-03 -6.3233763137 9.6108375454 14.997709600  96.014660801
21 2005  9  7  20 00 00  6943.738578745 0.001242281   31.406992713 354.062785276 70.432114043 111.114349641 -2.5427720613E-03 -6.3232304331 9.4873706410 14.998105610  96.012125628
22 2005  9 11  23 00 00  6943.636373461 0.001338154   31.406381537 327.978649560 94.621652683 78.263920705 -2.9606704529E-03 -6.3234508251 9.3793818817 14.998436425  96.010007921
23 2005  9 14  22 00 00  6943.595277664 0.001311172   31.406067304 309.272648368 111.244328542 222.776968064 -6.3402079045E-03 -6.3233424840 9.3597961020 14.998569432  96.00915651
24 2005  9 17  22 00 00  6943.634554836 0.001177495   31.405482599 290.299813309 126.533220556 234.070844249 -6.6055003037E-03 -6.3240571682 9.4315964453 14.998442103  96.009971575
25 2005  9 21  18 00 00  6943.711473664 0.000926401   31.405485710 266.056577783 153.643766515 61.020420539 -4.6815133930E-03 -6.3242034846 9.5455268157 14.998193027  96.011566021
26 2005  9 24  18 00 00  6943.843060768 0.000674721   31.404703328 247.085803948 170.786897657 70.579042133 -3.1706540749E-03 -6.3237141927 9.7112937898 14.997766748  96.014294938
27 2005  9 28  16 00 00  6943.916351234 0.000325732   31.404203162 222.316087759 206.791236997 339.496735286 -3.6623501329E-03 -6.3241849036 9.8141100996 14.997529317  96.015814974
28 2005 10  1  15 00 00  6944.021159551 0.000277301   31.404914962 203.606881107 269.705188882 77.996955856 -2.0196948005E-03 -6.3242059674 9.9441447320 14.997190129  96.017986543
29 2005 10  5  13 00 00  6943.902238780 0.000551685   31.404672280 178.838359493 356.997281549 295.717825873 -2.6509044645E-03 -6.3239906479 9.8190917429 14.997575123  96.01552172
30 2005 10  8  11 00 00  6943.784530133 0.000790317   31.404638006 160.391072521 23.277266966 205.553518254 -5.6088877221E-03 -6.3245266242 9.6987135515 14.997956258  96.013081731
31 2005 10 12   9 00 00  6943.663404962 0.001085965   31.405026642 135.621202361 52.931574334 121.046209391 -2.5949658001E-03 -6.3242244946 9.5759950280 14.998348571  96.010570306
32 2005 10 15   8 00 00  6943.532357680 0.001231749   31.404820738 116.912183056 67.484225197 268.085036635 -3.5738866553E-03 -6.3244993985 9.4382797633 14.998772894  96.007854124
