0 24 25
25 26 2
27 27 1
28 28 1
29 30 2
31 31 1
32 33 2
34 35 2
36 36 1
37 38 2
39 40 2
41 42 2
43 44 2
45 46 2
47 49 3
50 51 2
52 54 3
55 56 2
57 59 3
60 62 3
63 65 3
66 68 3
69 71 3
72 75 4
76 79 4
80 83 4
84 87 4
88 91 4
92 95 4
96 100 5
101 105 5
106 110 5
111 116 6
117 121 5
122 127 6
128 134 7
135 140 6
141 147 7
148 154 7
155 162 8
163 170 8
171 178 8
179 187 9
188 196 9
197 206 10
207 216 10
217 227 11
228 238 11
239 249 11
250 262 13
263 274 12
275 288 14
289 302 14
303 317 15
318 332 15
333 349 17
350 366 17
367 384 18
385 403 19
404 422 19
423 443 21
444 465 22
466 487 22
488 511 24

