  0.0000E+00  0.5740E-02  0.1724E+03  0.1724E+03  0.1724E+03  0.9000E+00
  0.1000E+01  0.4896E-01  0.1471E+04  0.1298E+04  0.1442E+03  0.2700E+01
  0.2000E+01  0.1231E+00  0.3698E+04  0.2227E+04  0.8909E+02  0.4500E+01
  0.3000E+01  0.2044E+00  0.6140E+04  0.2442E+04  0.4984E+02  0.6300E+01
  0.4000E+01  0.2871E+00  0.8622E+04  0.2481E+04  0.3064E+02  0.8100E+01
  0.5000E+01  0.3614E+00  0.1086E+05  0.2234E+04  0.1846E+02  0.9900E+01
  0.6000E+01  0.4303E+00  0.1292E+05  0.2070E+04  0.1225E+02  0.1170E+02
  0.7000E+01  0.4954E+00  0.1488E+05  0.1955E+04  0.8688E+01  0.1350E+02
  0.8000E+01  0.5532E+00  0.1661E+05  0.1734E+04  0.6000E+01  0.1530E+02
  0.9000E+01  0.6034E+00  0.1812E+05  0.1509E+04  0.4180E+01  0.1710E+02
  0.1000E+02  0.6461E+00  0.1940E+05  0.1281E+04  0.2905E+01  0.1890E+02
  0.1100E+02  0.6805E+00  0.2044E+05  0.1033E+04  0.1953E+01  0.2070E+02
  0.1200E+02  0.7126E+00  0.2140E+05  0.9644E+03  0.1543E+01  0.2250E+02
  0.1300E+02  0.7412E+00  0.2226E+05  0.8586E+03  0.1178E+01  0.2430E+02
  0.1400E+02  0.7659E+00  0.2300E+05  0.7437E+03  0.8843E+00  0.2610E+02
  0.1500E+02  0.7884E+00  0.2368E+05  0.6738E+03  0.7011E+00  0.2790E+02
  0.1600E+02  0.8099E+00  0.2432E+05  0.6459E+03  0.5931E+00  0.2970E+02
  0.1700E+02  0.8292E+00  0.2490E+05  0.5790E+03  0.4727E+00  0.3150E+02
  0.1800E+02  0.8487E+00  0.2549E+05  0.5872E+03  0.4289E+00  0.3330E+02
  0.1900E+02  0.8651E+00  0.2598E+05  0.4913E+03  0.3230E+00  0.3510E+02
  0.2000E+02  0.8806E+00  0.2645E+05  0.4654E+03  0.2769E+00  0.3690E+02
  0.2100E+02  0.8927E+00  0.2681E+05  0.3645E+03  0.1971E+00  0.3870E+02
  0.2200E+02  0.9053E+00  0.2719E+05  0.3776E+03  0.1865E+00  0.4050E+02
  0.2300E+02  0.9164E+00  0.2752E+05  0.3348E+03  0.1515E+00  0.4230E+02
  0.2400E+02  0.9269E+00  0.2784E+05  0.3139E+03  0.1307E+00  0.4410E+02
  0.2500E+02  0.9363E+00  0.2812E+05  0.2820E+03  0.1084E+00  0.4590E+02
  0.2600E+02  0.9433E+00  0.2833E+05  0.2121E+03  0.7551E-01  0.4770E+02
  0.2700E+02  0.9512E+00  0.2857E+05  0.2372E+03  0.7843E-01  0.4950E+02
  0.2800E+02  0.9575E+00  0.2876E+05  0.1874E+03  0.5767E-01  0.5130E+02
  0.2900E+02  0.9635E+00  0.2894E+05  0.1815E+03  0.5213E-01  0.5310E+02
  0.3000E+02  0.9692E+00  0.2911E+05  0.1726E+03  0.4639E-01  0.5490E+02
  0.3100E+02  0.9751E+00  0.2929E+05  0.1767E+03  0.4453E-01  0.5670E+02
  0.3200E+02  0.9808E+00  0.2946E+05  0.1708E+03  0.4044E-01  0.5850E+02
  0.3300E+02  0.9852E+00  0.2959E+05  0.1310E+03  0.2917E-01  0.6030E+02
  0.3400E+02  0.9891E+00  0.2971E+05  0.1181E+03  0.2480E-01  0.6210E+02
  0.3500E+02  0.9924E+00  0.2981E+05  0.9820E+02  0.1948E-01  0.6390E+02
  0.3600E+02  0.9947E+00  0.2988E+05  0.7132E+02  0.1338E-01  0.6570E+02
  0.3700E+02  0.9966E+00  0.2993E+05  0.5444E+02  0.9678E-02  0.6750E+02
  0.3800E+02  0.9987E+00  0.3000E+05  0.6456E+02  0.1089E-01  0.6930E+02
  0.3900E+02  0.1000E+01  0.3003E+05  0.3868E+02  0.6198E-02  0.7110E+02
