 0.0000E+00 0.1972E+00
 0.1000E+01 0.3331E+00
 0.2000E+01 0.4521E+00
 0.3000E+01 0.5003E+00
 0.4000E+01 0.5385E+00
 0.5000E+01 0.5653E+00
 0.6000E+01 0.5881E+00
 0.7000E+01 0.6014E+00
 0.8000E+01 0.6106E+00
 0.9000E+01 0.6188E+00
 0.1000E+02 0.6249E+00
 0.1100E+02 0.6299E+00
 0.1200E+02 0.6363E+00
 0.1300E+02 0.6397E+00
 0.1400E+02 0.6432E+00
 0.1500E+02 0.6459E+00
 0.1600E+02 0.6480E+00
 0.1700E+02 0.6513E+00
 0.1800E+02 0.6524E+00
 0.1900E+02 0.6550E+00
 0.2000E+02 0.6565E+00
 0.2100E+02 0.6578E+00
