2445750.5 -0.860068877  0.451489508  0.195567321 -0.008692912 -0.013824951 -0.005993926
2445751.5 -0.868630147  0.437597160  0.189544244 -0.008429187 -0.013959083 -0.006051945
2445752.5 -0.876926367  0.423572686  0.183464001 -0.008162814 -0.014089184 -0.006108251
2445753.5 -0.884954899  0.409420177  0.177328331 -0.007893815 -0.014215131 -0.006162792
2445754.5 -0.892713140  0.395143849  0.171139022 -0.007622245 -0.014336803 -0.006215518
2445755.5 -0.900198558  0.380748034  0.164897918 -0.007348182 -0.014454085 -0.006266376
2445756.5 -0.907408706  0.366237175  0.158606909 -0.007071724 -0.014566877 -0.006315320
2445757.5 -0.914341244  0.351615807  0.152267931 -0.006792980 -0.014675088 -0.006362307
2445758.5 -0.920993943  0.336888552  0.145882961 -0.006512068 -0.014778638 -0.006407297
2445759.5 -0.927364699  0.322060109  0.139454014 -0.006229113 -0.014877455 -0.006450255
2445760.5 -0.933451532  0.307135240  0.132983138 -0.005944245 -0.014971478 -0.006491150
2445761.5 -0.939252597  0.292118769  0.126472412 -0.005657601 -0.015060653 -0.006529951
2445762.5 -0.944766189  0.277015566  0.119923941 -0.005369321 -0.015144934 -0.006566635
2445763.5 -0.949990743  0.261830544  0.113339855 -0.005079551 -0.015224286 -0.006601179
2445764.5 -0.954924843  0.246568645  0.106722302 -0.004788438 -0.015298683 -0.006633568
2445765.5 -0.959567222  0.231234834  0.100073443 -0.004496133 -0.015368109 -0.006663788
2445766.5 -0.963916762  0.215834086  0.093395452 -0.004202788 -0.015432557 -0.006691831
2445767.5 -0.967972501  0.200371377  0.086690507 -0.003908554 -0.015492034 -0.006717696
2445768.5 -0.971733624  0.184851672  0.079960786 -0.003613583 -0.015546553 -0.006741383
2445769.5 -0.975199471  0.169279914  0.073208465 -0.003318026 -0.015596144 -0.006762901
2445770.5 -0.978369531  0.153661012  0.066435703 -0.003022032 -0.015640850 -0.006782265
2445771.5 -0.981243437  0.137999821  0.059644644 -0.002725742 -0.015680732 -0.006799500
2445772.5 -0.983820960  0.122301129  0.052837401 -0.002429285 -0.015715869 -0.006814640
2445773.5 -0.986101985  0.106569632  0.046016047 -0.002132763 -0.015746359 -0.006827730
2445774.5 -0.988086488  0.090809924  0.039182606 -0.001836246 -0.015772310 -0.006838823
2445775.5 -0.989774488  0.075026489  0.032339048 -0.001539759 -0.015793829 -0.006847975
2445776.5 -0.991166009  0.059223715  0.025487287 -0.001243281 -0.015810998 -0.006855236
2445777.5 -0.992261037  0.043405926  0.018629195 -0.000946761 -0.015823862 -0.006860639
2445778.5 -0.993059497  0.027577427  0.011766623 -0.000650138 -0.015832414 -0.006864196
2445779.5 -0.993561263  0.011742551  0.004901422 -0.000353368 -0.015836604 -0.006865895
2445780.5 -0.993766181 -0.004094299 -0.001964538 -0.000056443 -0.015836348 -0.006865706
2445781.5 -0.993674108 -0.019928633 -0.008829349  0.000240604 -0.015831557 -0.006863592
2445782.5 -0.993284955 -0.035755871 -0.015691066  0.000537702 -0.015822142 -0.006859512
2445783.5 -0.992598718 -0.051571350 -0.022547705  0.000834756 -0.015808028 -0.006853430
2445784.5 -0.991615495 -0.067370343 -0.029397249  0.001131652 -0.015789159 -0.006845317
2445785.5 -0.990335506 -0.083148069 -0.036237654  0.001428268 -0.015765492 -0.006835149
2445786.5 -0.988759094 -0.098899716 -0.043066855  0.001724478 -0.015736995 -0.006822907
2445787.5 -0.986886730 -0.114620444 -0.049882771  0.002020151 -0.015703650 -0.006808577
2445788.5 -0.984719014 -0.130305396 -0.056683309  0.002315157 -0.015665443 -0.006792149
2445789.5 -0.982256682 -0.145949708 -0.063466366  0.002609363 -0.015622370 -0.006773614
2445790.5 -0.979500601 -0.161548515 -0.070229834  0.002902631 -0.015574433 -0.006752969
2445791.5 -0.976451779 -0.177096956 -0.076971600  0.003194821 -0.015521642 -0.006730212
2445792.5 -0.973111366 -0.192590187 -0.083689555  0.003485790 -0.015464017 -0.006705346
2445793.5 -0.969480654 -0.208023388 -0.090381592  0.003775393 -0.015401588 -0.006678379
2445794.5 -0.965561083 -0.223391776 -0.097045616  0.004063485 -0.015334399 -0.006649323
2445795.5 -0.961354235 -0.238690617 -0.103679549  0.004349922 -0.015262505 -0.006618200
2445796.5 -0.956861838 -0.253915240 -0.110281334  0.004634564 -0.015185973 -0.006585033
2445797.5 -0.952085750 -0.269061046 -0.116848944  0.004917279 -0.015104886 -0.006549856
2445798.5 -0.947027962 -0.284123526 -0.123380389  0.005197946 -0.015019339 -0.006512708
2445799.5 -0.941690578 -0.299098272 -0.129873720  0.005476454 -0.014929438 -0.006473637
2445800.5 -0.936075804 -0.313980990 -0.136327040  0.005752713 -0.014835304 -0.006432697
2445801.5 -0.930185923 -0.328767511 -0.142738511  0.006026660 -0.014737065 -0.006389949
2445802.5 -0.924023266 -0.343453796 -0.149106356  0.006298262 -0.014634853 -0.006345457
2445803.5 -0.917590181 -0.358035932 -0.155428864  0.006567521 -0.014528787 -0.006299285
2445804.5 -0.910888991 -0.372510118 -0.161704384  0.006834478 -0.014418966 -0.006251488
2445805.5 -0.903921972 -0.386872634 -0.167931312  0.007099194 -0.014305452 -0.006202107
2445806.5 -0.896691328 -0.401119798 -0.174108077  0.007361736 -0.014188262 -0.006151162
2445807.5 -0.889199206 -0.415247925 -0.180233114  0.007622156 -0.014067373 -0.006098651
2445808.5 -0.881447718 -0.429253293 -0.186304852  0.007880469 -0.013942734 -0.006044557
2445809.5 -0.873438978 -0.443132122 -0.192321692  0.008136652 -0.013814284 -0.005988854
2445810.5 -0.865175145 -0.456880572 -0.198282014  0.008390644 -0.013681966 -0.005931514
2445811.5 -0.856658449 -0.470494752 -0.204184166  0.008642359 -0.013545741 -0.005872513
2445812.5 -0.847891221 -0.483970743 -0.210026481  0.008891692 -0.013405584 -0.005811836
2445813.5 -0.838875897 -0.497304607 -0.215807277  0.009138530 -0.013261490 -0.005749474
2445814.5 -0.829615029 -0.510492412 -0.221524866  0.009382762 -0.013113466 -0.005685424
2445815.5 -0.820111280 -0.523530235 -0.227177563  0.009624272 -0.012961531 -0.005619688
2445816.5 -0.810367429 -0.536414179 -0.232763683  0.009862949 -0.012805712 -0.005552272
2445817.5 -0.800386365 -0.549140375 -0.238281550  0.010098679 -0.012646040 -0.005483185
2445818.5 -0.790171092 -0.561704987 -0.243729498  0.010331347 -0.012482553 -0.005412437
2445819.5 -0.779724731 -0.574104224 -0.249105874  0.010560836 -0.012315297 -0.005340042
2445820.5 -0.769050519 -0.586334342 -0.254409039  0.010787026 -0.012144325 -0.005266018
2445821.5 -0.758151819 -0.598391657 -0.259637374  0.011009794 -0.011969702 -0.005190388
2445822.5 -0.747032113 -0.610272556 -0.264789288  0.011229017 -0.011791508 -0.005113180
2445823.5 -0.735695006 -0.621973512 -0.269863220  0.011444576 -0.011609834 -0.005034430
2445824.5 -0.724144219 -0.633491100 -0.274857649  0.011656360 -0.011424789 -0.004954184
2445825.5 -0.712383577 -0.644822008 -0.279771105  0.011864271 -0.011236496 -0.004872491
2445826.5 -0.700416996 -0.655963054 -0.284602169  0.012068227 -0.011045089 -0.004789411
2445827.5 -0.688248462 -0.666911195 -0.289349487  0.012268169 -0.010850709 -0.004705009
2445828.5 -0.675882008 -0.677663530 -0.294011769  0.012464062 -0.010653503 -0.004619353
2445829.5 -0.663321689 -0.688217306 -0.298587799  0.012655899 -0.010453614 -0.004532514
2445830.5 -0.650571556 -0.698569909 -0.303076425  0.012843698 -0.010251177 -0.004444558
2445831.5 -0.637635623 -0.708718851 -0.307476564  0.013027507 -0.010046311 -0.004355550
2445832.5 -0.624517849 -0.718661752 -0.311787191  0.013207395 -0.009839107 -0.004265540
2445833.5 -0.611222115 -0.728396307 -0.316007323  0.013383440 -0.009629626 -0.004174567
2445834.5 -0.597752223 -0.737920253 -0.320136011  0.013555721 -0.009417891 -0.004082652
2445835.5 -0.584111907 -0.747231336 -0.324172313  0.013724297 -0.009203895 -0.003989796
2445836.5 -0.570304853 -0.756327280 -0.328115287  0.013889198 -0.008987609 -0.003895991
2445837.5 -0.556334738 -0.765205778 -0.331963974  0.014050417 -0.008768996 -0.003801220
2445838.5 -0.542205259 -0.773864485 -0.335717398  0.014207915 -0.008548024 -0.003705464
2445839.5 -0.527920169 -0.782301032 -0.339374568  0.014361629 -0.008324674 -0.003608709
2445840.5 -0.513483290 -0.790513041 -0.342934481  0.014511477 -0.008098948 -0.003510949
2445841.5 -0.498898532 -0.798498141 -0.346396131  0.014657372 -0.007870860 -0.003412184
2445842.5 -0.484169893 -0.806253985 -0.349758516  0.014799225 -0.007640443 -0.003312420
2445843.5 -0.469301458 -0.813778264 -0.353020643  0.014936949 -0.007407737 -0.003211670
2445844.5 -0.454297400 -0.821068713 -0.356181533  0.015070459 -0.007172793 -0.003109950
2445845.5 -0.439161974 -0.828123122 -0.359240225  0.015199669 -0.006935665 -0.003007276
2445846.5 -0.423899522 -0.834939334 -0.362195775  0.015324497 -0.006696412 -0.002903671
2445847.5 -0.408514469 -0.841515259 -0.365047264  0.015444855 -0.006455101 -0.002799157
2445848.5 -0.393011331 -0.847848875 -0.367793795  0.015560654 -0.006211806 -0.002693760
2445849.5 -0.377394712 -0.853938238 -0.370434501  0.015671801 -0.005966611 -0.002587513
2445850.5 -0.361669311 -0.859781497 -0.372968549  0.015778203 -0.005719616 -0.002480452
2445851.5 -0.345839917 -0.865376909 -0.375395149  0.015879773 -0.005470937 -0.002372625
2445852.5 -0.329911402 -0.870722854 -0.377713561  0.015976432 -0.005220707 -0.002264087
2445853.5 -0.313888709 -0.875817855 -0.379923107  0.016068124 -0.004969075 -0.002154902
2445854.5 -0.297776823 -0.880660589 -0.382023174  0.016154813 -0.004716200 -0.002045144
2445855.5 -0.281580751 -0.885249895 -0.384013227  0.016236498 -0.004462245 -0.001934886
2445856.5 -0.265305488 -0.889584772 -0.385892806  0.016313202 -0.004207366 -0.001824206
2445857.5 -0.248955988 -0.893664367 -0.387661523  0.016384981 -0.003951705 -0.001713175
2445858.5 -0.232537142 -0.897487963 -0.389319061  0.016451911 -0.003695386 -0.001601858
2445859.5 -0.216053751 -0.901054953 -0.390865162  0.016514085 -0.003438507 -0.001490309
2445860.5 -0.199510523 -0.904364814 -0.392299615  0.016571603 -0.003181139 -0.001378568
2445861.5 -0.182912065 -0.907417082 -0.393622243  0.016624562 -0.002923323 -0.001266664
2445862.5 -0.166262890 -0.910211318 -0.394832892  0.016673050 -0.002665076 -0.001154609
2445863.5 -0.149567434 -0.912747089 -0.395931413  0.016717133 -0.002406392 -0.001042407
2445864.5 -0.132830079 -0.915023950 -0.396917654  0.016756851 -0.002147253 -0.000930048
2445865.5 -0.116055182 -0.917041436 -0.397791454  0.016792216 -0.001887638 -0.000817523
2445866.5 -0.099247103 -0.918799062 -0.398552640  0.016823211 -0.001627530 -0.000704819
2445867.5 -0.082410229 -0.920296331 -0.399201030  0.016849799 -0.001366927 -0.000591928
2445868.5 -0.065548991 -0.921532754 -0.399736433  0.016871929 -0.001105839 -0.000478848
2445869.5 -0.048667876 -0.922507856 -0.400158665  0.016889544 -0.000844294 -0.000365585
2445870.5 -0.031771429 -0.923221202 -0.400467546  0.016902583 -0.000582333 -0.000252149
2445871.5 -0.014864254 -0.923672400 -0.400662911  0.016910990 -0.000320007 -0.000138556
2445872.5  0.002048989 -0.923861115 -0.400744613  0.016914710 -0.000057376 -0.000024827
2445873.5  0.018963585 -0.923787073 -0.400712528  0.016913688  0.000205494  0.000089016
2445874.5  0.035874768 -0.923450069 -0.400566553  0.016907873  0.000468536  0.000202947
2445875.5  0.052777717 -0.922849968 -0.400306613  0.016897212  0.000731674  0.000316940
2445876.5  0.069667556 -0.921986715 -0.399932661  0.016881646  0.000994826  0.000430965
2445877.5  0.086539353 -0.920860341 -0.399444684  0.016861116  0.001257900  0.000544985
2445878.5  0.103388114 -0.919470977 -0.398842706  0.016835563  0.001520788  0.000658960
2445879.5  0.120208786 -0.917818869 -0.398126796  0.016804931  0.001783364  0.000772838
2445880.5  0.136996269 -0.915904400 -0.397297083  0.016769179  0.002045484  0.000886557
2445881.5  0.153745430 -0.913728106 -0.396353760  0.016728287  0.002306986  0.001000045
2445882.5  0.170451134 -0.911290691 -0.395297095  0.016682270  0.002567699  0.001113225
2445883.5  0.187108279 -0.908593028 -0.394127440  0.016631179  0.002827454  0.001226015
2445884.5  0.203711829 -0.905636155 -0.392845222  0.016575099  0.003086096  0.001338336
2445885.5  0.220256852 -0.902421250 -0.391450946  0.016514145  0.003343497  0.001450122
2445886.5  0.236738538 -0.898949607 -0.389945175  0.016448449  0.003599559  0.001561318
2445887.5  0.253152213 -0.895222600 -0.388328520  0.016378144  0.003854216  0.001671884
2445888.5  0.269493333 -0.891241656 -0.386601625  0.016303358  0.004107430  0.001781796
2445889.5  0.285757475 -0.887008226 -0.384765150  0.016224206  0.004359186  0.001891041
2445890.5  0.301940320 -0.882523768 -0.382819766  0.016140779  0.004609488  0.001999616
2445891.5  0.318037632 -0.877789732 -0.380766139  0.016053150  0.004858347  0.002107527
2445892.5  0.334045235 -0.872807549 -0.378604931  0.015961366  0.005105782  0.002214781
2445893.5  0.349958987 -0.867578638 -0.376336792  0.015865451  0.005351807  0.002321390
2445894.5  0.365774763 -0.862104403 -0.373962364  0.015765412  0.005596430  0.002427361
2445895.5  0.381488433 -0.856386245 -0.371482280  0.015661238  0.005839650  0.002532701
2445896.5  0.397095853 -0.850425575 -0.368897172  0.015552907  0.006081451  0.002637410
2445897.5  0.412592851 -0.844223826 -0.366207673  0.015440391  0.006321803  0.002741481
2445898.5  0.427975230 -0.837782465 -0.363414427  0.015323662  0.006560667  0.002844903
2445899.5  0.443238763 -0.831103005 -0.360518088  0.015202693  0.006797991  0.002947662
2445900.5  0.458379194 -0.824187015 -0.357519332  0.015077458  0.007033717  0.003049735
2445901.5  0.473392249 -0.817036124 -0.354418853  0.014947934  0.007267781  0.003151102
2445902.5  0.488273626 -0.809652029 -0.351217372  0.014814100  0.007500113  0.003251736
2445903.5  0.503019004 -0.802036499 -0.347915635  0.014675933  0.007730640  0.003351610
2445904.5  0.517624039 -0.794191378 -0.344514416  0.014533410  0.007959281  0.003450694
2445905.5  0.532084362 -0.786118596 -0.341014522  0.014386505  0.008185944  0.003548952
2445906.5  0.546395579 -0.777820184 -0.337416800  0.014235192  0.008410525  0.003646343
2445907.5  0.560553270 -0.769298281 -0.333722142  0.014079451  0.008632902  0.003742816
2445908.5  0.574553002 -0.760555163 -0.329931495  0.013919275  0.008852930  0.003838309
2445909.5  0.588390348 -0.751593256 -0.326045875  0.013754685  0.009070451  0.003932750
2445910.5  0.602060919 -0.742415154 -0.322066373  0.013585736  0.009285294  0.004026058
2445911.5  0.615560401 -0.733023615 -0.317994163  0.013412530  0.009497297  0.004118154
2445912.5  0.628884607 -0.723421554 -0.313830494  0.013235208  0.009706319  0.004208964
2445913.5  0.642029501 -0.713612007 -0.309576684  0.013053938  0.009912254  0.004298428
2445914.5  0.654991227 -0.703598095 -0.305234101  0.012868900  0.010115041  0.004386507
2445915.5  0.667766103 -0.693382983 -0.300804139  0.012680265  0.010314654  0.004473180
2445916.5  0.680350608 -0.682969845 -0.296288210  0.012488181  0.010511095  0.004558443
2445917.5  0.692741358 -0.672361843 -0.291687722  0.012292774  0.010704385  0.004642301
2445918.5  0.704935081 -0.661562116 -0.287004074  0.012094141  0.010894551  0.004724765
2445919.5  0.716928590 -0.650573772 -0.282238652  0.011892355  0.011081624  0.004805850
2445920.5  0.728718759 -0.639399891 -0.277392828  0.011687470  0.011265628  0.004885571
2445921.5  0.740302509 -0.628043533 -0.272467959  0.011479522  0.011446581  0.004963941
2445922.5  0.751676789 -0.616507743 -0.267465393  0.011268533  0.011624494  0.005040970
2445923.5  0.762838566 -0.604795559 -0.262386465  0.011054517  0.011799367  0.005116663
2445924.5  0.773784816 -0.592910026 -0.257232510  0.010837479  0.011971189  0.005191024
2445925.5  0.784512517 -0.580854205 -0.252004863  0.010617420  0.012139939  0.005264049
2445926.5  0.795018648 -0.568631181 -0.246704860  0.010394340  0.012305587  0.005335731
2445927.5  0.805300189 -0.556244078 -0.241333852  0.010168239  0.012468092  0.005406058
2445928.5  0.815354119 -0.543696060 -0.235893201  0.009939119  0.012627407  0.005475015
2445929.5  0.825177422 -0.530990345 -0.230384285  0.009706984  0.012783478  0.005542584
